temperature, L2
1283.7, 9.15965e-05
1480.37, 2.44849e-05
1070.16, 0.000197095
1386.14, 0.000131739
1935.13, 2.34851e-05
1785.7, 3.03933e-06
1242.2, 3.06065e-06
1436.6, 6.82968e-05
1549.52, 2.81929e-06
1246.59, 4.39141e-05
1809.66, 6.19467e-05
1201.59, 3.12385e-06
1835.18, 3.87228e-05
1068.94, 4.4378e-05
1160.5, 1.14635e-07
1348.24, 2.94741e-05
1188.66, 9.98837e-07
1396.99, 0.000285733
1784.49, 3.78641e-06
1905.57, 2.46047e-06
1065.76, 1.1426e-05
1615.23, 2.1058e-05
1245.96, 1.44268e-05
1205.1, 7.31133e-06
1970.06, 5.19085e-06
1224.54, 1.57555e-05
1299.24, 0.000118677
1427.64, 6.63538e-05
1807.5, 2.01154e-05
1299.35, 3.38805e-05
1621.87, 0.000134488
1678.18, 0.000154651
1764.99, 5.00902e-05
1982.97, 5.1057e-05
1711.38, 2.23235e-06
1635.65, 3.34376e-05
1740.68, 2.80085e-05
1554.08, 8.94607e-05
1453.82, 4.46974e-05
1326.5, 1.31029e-05
1197.34, 8.1777e-07
1653.5, 0.000102656
1003.66, 8.92494e-05
1888.14, 5.80372e-05
1876.08, 5.14136e-05
1265.26, 0.000235758
1245.43, 7.4662e-06
1673.24, 7.98444e-06
1368.54, 4.87028e-05
1253.55, 3.27646e-05
1917.48, 3.22324e-05
1084.23, 7.98456e-06
1022.47, 3.50732e-06
1070.13, 7.89054e-06
1069.87, 3.01602e-05
1155.09, 1.19738e-06
1531.39, 2.17133e-05
1393.26, 0.000202925
1051.61, 3.40013e-06
1363.47, 6.26763e-06
1479.45, 5.71545e-05
1726.88, 4.69887e-05
1972.27, 9.2158e-06
1421.44, 0.000376005
1436.09, 5.20059e-06
1249.91, 0.000125254
1636.7, 9.89322e-05
1029.38, 0.000253162
1670.98, 2.11775e-05
1553.51, 1.91784e-05
1599.96, 3.11731e-05
1259.43, 2.5427e-05
1844.17, 5.38747e-05
1757.82, 1.54622e-05
1124.38, 1.65677e-05
1266.77, 3.14119e-05
1187.26, 4.67667e-06
1298.93, 1.07484e-05
1773.46, 3.07614e-05
1084.5, 5.17105e-05
1243.06, 7.29473e-05
1562.48, 3.20336e-05
1912.99, 2.63408e-05
1073.8, 3.15875e-05
1594.56, 1.09814e-05
1092.21, 6.89515e-05
1744.38, 7.20107e-05
1579.44, 4.99259e-05
1461.11, 3.91199e-05
1557.62, 4.44978e-05
1363.21, 6.87225e-06
1337.9, 1.83993e-05
1521.74, 0.000105676
1710.56, 4.38932e-05
1486.33, 0.000131162
1505.85, 0.000218613
1623.57, 2.69031e-05
1672.11, 1.41635e-05
1318.88, 1.95364e-05
1228.4, 1.1232e-05
1644.41, 4.37009e-05
1074.74, 2.60174e-06
1251.67, 0.00010866
1983.69, 0.000101215
1304.33, 5.38546e-05
1810.71, 2.85014e-05
1165.17, 6.80974e-08
1843.97, 0.000185901
1217.43, 6.0157e-06
1842.91, 8.95508e-06
1538.69, 0.000260708
1714.02, 5.55115e-05
1173.57, 1.92295e-06
1104.52, 1.07922e-05
1972.53, 3.25491e-07
1155.02, 8.45499e-06
1073.1, 3.75298e-05
1736.75, 0.000253579
1678.56, 1.03557e-06
1996.78, 0.000267922
1844.1, 2.45193e-05
1288.38, 2.71997e-05
1848.63, 2.40075e-05
1468.41, 4.54457e-05
1079.02, 3.63428e-05
1926.21, 3.16561e-05
1278.56, 2.79117e-05
1182.12, 0.000115524
1388.09, 1.10822e-05
1423.56, 2.75421e-05
1510.92, 1.69377e-05
1512.61, 8.15454e-05
1215.54, 6.43588e-05
1238.51, 1.25296e-05
1453.16, 1.46542e-05
1428.57, 5.89879e-05
1006.77, 1.9018e-05
1304.63, 3.54207e-05
1675.28, 8.04287e-05
1643.04, 3.06147e-06
1386.03, 1.17187e-05
1344.38, 2.35526e-05
1941.1, 3.54679e-05
1467.96, 4.17286e-05
1283.88, 2.53654e-05
1889.73, 1.95971e-05
1931.41, 3.25705e-05
1195.94, 1.63652e-05
1366.84, 2.79302e-05
1697.22, 1.54774e-05
1347.58, 3.80095e-05
