temperature, L2
1006.99, 0.0158016
2137.57, 0.059036
2168.47, 0.00511913
2293.71, 0.00914239
1651.94, 0.0201122
2296.48, 0.00773546
1262.3, 0.0838861
2262.45, 0.0620403
1026.18, 0.0224406
1361.91, 0.00891485
2106.83, 0.00494585
1860.21, 0.00954255
2049.51, 0.00584447
1069.71, 0.0147111
1403.77, 0.025057
1479.66, 0.00718139
2032.59, 0.0670985
1284.26, 0.00972506
1258.98, 0.00700721
2171.99, 0.0726501
2131, 0.0241485
1262, 0.0722374
1182, 0.225839
1180.16, 0.00986427
2200.82, 0.00451144
1639, 0.00734839
2419.4, 0.00928599
1820.48, 0.00402045
1361.29, 0.0113873
1585.75, 0.0351405
1227.92, 0.033464
2490.13, 0.0191167
2485.83, 0.00507887
2288.34, 0.0055817
2137.02, 0.00440224
1334.61, 0.0233424
1322, 1.31928
1343.86, 0.0296867
2068.79, 0.0562476
1123.08, 0.192805
1094.4, 0.0169643
1448.12, 0.0256826
2208.58, 0.00668211
1088.84, 0.0773461
2343.51, 0.00789581
2394.24, 0.0156767
1308.99, 0.0115369
1831.26, 0.0328542
1030.91, 0.0189533
1709.58, 0.00395406
2321.89, 0.00923733
1132.18, 0.00814424
1156.64, 0.0118369
1403.76, 0.0127305
1989.53, 0.0054388
2237.86, 0.0236944
2196.27, 0.00382437
1689.97, 0.0195004
1925.6, 0.00467602
1044.47, 0.0939456
1894.47, 0.0299796
2176.94, 0.00233562
1038.36, 0.0452376
1270.61, 0.0319948
2227.56, 0.00584136
2168.06, 0.0066279
2107.63, 0.00610413
2183.39, 0.00926334
1166.68, 0.0246774
2069.62, 0.0048525
1722.2, 0.00640817
2058.22, 0.0136744
1928.59, 0.00490728
2312.04, 0.0168426
1133.33, 0.0343712
2377.02, 0.00465763
1871.19, 0.00331185
1935.14, 0.0209078
1975.43, 0.0053086
1900.81, 0.00317822
1263.11, 0.16854
1883.69, 0.00273842
1126.45, 0.0143091
1372.14, 0.028926
2122.58, 0.00558786
1678.64, 0.00659076
2466.02, 0.0178539
1656.95, 0.0141637
2345.2, 0.0173874
1635.42, 0.00981935
1382.37, 0.00951421
1501.65, 0.00745866
1268.41, 0.106129
2390.64, 0.00892058
1780.26, 0.0083532
2151.27, 0.00453914
2022.49, 0.0388391
2230.17, 0.00483493
2412.97, 0.0230585
1368.31, 0.0148677
2225.63, 0.00628696
1263.61, 0.0769783
1481.61, 0.00711174
1784.99, 0.00484514
2378.4, 0.00954557
1830.25, 0.0262454
1364.85, 0.0312366
1885.59, 0.0112929
1350.45, 0.00742202
1091.44, 0.0195224
1575.99, 0.00408428
1581.2, 0.0300153
1158.27, 0.0245205
2307.4, 0.318807
2411.42, 0.0050163
2493.71, 0.0384305
2270.57, 0.288763
2104.78, 0.0809136
1731.68, 0.0352463
1382.87, 0.0143489
2142.49, 0.00578874
1439.24, 0.00560934
1776.45, 0.0285274
2102.83, 0.00632274
1460.65, 0.00469166
2407.03, 0.0271236
1305.29, 0.0163441
1769.8, 0.00525275
2200.66, 0.0168981
1588.06, 0.00643556
1531.06, 0.00694781
1852.91, 0.00401773
1939.07, 0.00677402
1599.95, 0.0332368
2453.51, 0.0253619
2176.89, 0.0109932
1961.11, 0.00647399
2487.73, 0.0640332
2425.81, 0.00760017
1773.84, 0.00360996
1961.15, 0.0113992
1777.58, 0.00857747
2112.18, 0.0297974
2143.83, 0.00470296
2210.74, 0.0093451
1313.92, 0.441489
1988.86, 0.0032125
1681.57, 0.00647823
1602.81, 0.0462918
1036.93, 0.0408972
2103.4, 0.00610818
1469.24, 0.0116476
1398.23, 0.0104778
1633.88, 0.00516955
1484.38, 0.00562896
1844.69, 0.00439762
1577.35, 0.00794144
1263.87, 0.0195513
1080.62, 0.0141107
1991.34, 0.0101602
1773.2, 0.0143145
1524.9, 0.0101059
2107.71, 0.00619395
1677.17, 0.00452121
1669.03, 0.00475959
2112.32, 0.0212527
1629.74, 0.0190499
1258.94, 0.0217477
1040.56, 0.0126451
2263.24, 0.00686502
1702.63, 0.0253512
1608.6, 0.108067
1512.65, 0.0359426
1598.98, 0.0044036
2085.23, 0.00614324
1119.66, 0.0353918
2163.87, 0.00854008
2337.15, 0.0210409
1101.53, 0.0144408
1253.52, 0.0965005
1072.76, 0.0469768
2435.42, 0.00604183
2246.77, 0.0181501
1316.99, 0.0483834
1334.35, 0.00844092
1118.3, 0.0244592
2241.86, 0.00694197
1405.84, 0.00658273
1278.91, 0.0111918
2372.43, 0.00660607
2353.68, 0.232602
2243.77, 0.00547844
1890.45, 0.00544147
2151.36, 0.00645506
1349.19, 0.0102034
2267.74, 0.0720569
1141.54, 0.0184618
2436.41, 0.00998785
1978.59, 0.00557053
2425.21, 0.0082901
1700.77, 0.00434837
1218.69, 0.0288764
1252.48, 0.0666645
1928.1, 0.00576939
1121.06, 0.0134623
2070.44, 0.00530868
1676.48, 0.0159775
2078.12, 0.00709455
1525.26, 0.0131237
2288.38, 0.0064504
1640.3, 0.0615458
2434.47, 0.00612697
1026.37, 0.0113531
1340.56, 0.0130156
1819.49, 0.0630253
1509.11, 0.00693
2357.42, 0.00892335
2449.53, 0.00801241
1138.35, 0.00969202
1676.18, 0.00297995
1480.82, 0.0108294
2257.26, 0.00646384
1719.32, 0.0205862
2235.21, 0.00659351
1059.26, 0.0101372
1930.16, 0.0115906
1152.46, 0.0118226
1143.6, 0.0101483
2098.18, 0.0144622
1433.83, 0.019618
1361.11, 0.00476497
1301.37, 0.090632
2084.68, 0.00429155
1046.4, 0.0219541
1637.27, 0.00661162
2257.19, 0.00505142
2435.74, 0.0655332
2083.65, 0.00888883
2020.47, 0.00338314
2377.24, 0.0194822
2063.5, 0.0132182
1596.43, 0.0148781
2306, 0.0152774
1184.89, 0.0210164
1077.05, 0.0353642
1579.3, 0.0103042
1597.62, 0.00757178
1235.22, 0.0169507
2495.42, 0.0141352
2251.85, 0.00454536
1986.44, 0.0101733
1791.35, 0.00807304
1262.59, 0.00971754
1109.61, 0.0121314
1411.29, 0.0356273
2384.34, 0.00746151
1143.56, 0.0183326
2287.6, 0.00478971
1505.06, 0.00702037
1937.07, 0.0355871
1675.77, 0.0046927
1836.46, 0.00919498
1445.07, 0.02102
2025.53, 0.0029744
1267.53, 0.010121
1658.88, 0.00723018
1694.6, 0.009648
1919.35, 0.00633665
1388.13, 0.00426223
1531.88, 0.00591135
1312.06, 0.0128412
2274.03, 0.00645649
2377.6, 0.0303669
1872.37, 0.0112214
1118.07, 0.0426884
1658.2, 0.0240327
1046.93, 0.0211283
1365.6, 0.0126
1686.73, 0.0059982
2232.03, 0.00474929
1815.55, 0.00658404
1867.92, 0.0130504
1365.25, 0.00993073
1814.85, 0.00394927
2185.8, 0.00645858
1324.35, 0.0118167
2343.8, 0.0373101
2471.72, 5.61552
1349.51, 0.0317397
1364.63, 0.0108836
2459.65, 0.0509071
1864.91, 0.00283489
2129.65, 0.0119541
1945.82, 0.0281586
2489.92, 0.0953886
1191.59, 0.0110826
2033.58, 0.0131197
2186.04, 0.103276
1377.51, 0.0546239
2018.18, 0.00458867
1063.58, 0.0209083
2048.62, 0.293874
1798.36, 0.015156
2413.32, 0.0171638
1646.92, 0.00311917
1153.4, 0.0169725
2138.07, 0.00613615
1973.37, 0.033547
1560.43, 0.0566096
1334.54, 0.0100879
1207.42, 0.00899275
2499.97, 0.0224449
2003.6, 0.0227092
1667.51, 0.00746306
1982.38, 0.0290566
1309.38, 0.0239696
1775.78, 0.0118008
1711.05, 0.0464718
