temperature, L2
1899.78, 0.00256082
1928.78, 0.00223453
2254.39, 0.000627808
2283.97, 0.000546014
1565.92, 0.00208199
1357.77, 0.00144231
2495.69, 0.000905486
2465.93, 0.000983349
1494.97, 0.0033623
1126.16, 0.000262427
2151.46, 0.00877064
1917.16, 0.0056141
2240.43, 0.000664652
1293.34, 0.000820455
1766.33, 0.0022117
1887.51, 0.00225562
1887.82, 0.00212857
1546.56, 0.00218598
2004, 0.00255196
2468.94, 0.00100238
2244.54, 0.000822574
2469.49, 0.00121284
2186.57, 0.000937008
2123.08, 0.0027282
1458.31, 0.00158503
2125.06, 0.00199789
1504.39, 0.00271991
1863.52, 0.00295958
1298.11, 0.00136587
2137.16, 0.00152808
1549.88, 0.00265725
1708.63, 0.00190904
1125.89, 0.000436583
1023.7, 0.000404898
2044.99, 0.00212497
2294.85, 0.00042526
2101.35, 0.00135801
2058.86, 0.00154447
1326.22, 0.000867165
1336.88, 0.00100749
2368.98, 0.000615705
2152.81, 0.00224334
1095.17, 0.000529166
2418.21, 0.0023167
1641.34, 0.00283563
1436.64, 0.00174808
1528.06, 0.0020774
2238, 0.00155243
1862.16, 0.0237691
1422.33, 0.00127987
1678.92, 0.00252686
2374.44, 0.00140183
1128.91, 0.000209369
1270.8, 0.000550498
2278.34, 0.000629465
1871.08, 0.00219648
1635.68, 0.00234721
1476.91, 0.00206589
1674.89, 0.00340447
1002.25, 0.000270266
2043.4, 0.00200848
1211.5, 0.000175321
1252.04, 0.00145872
1499.88, 0.00204648
1910.14, 0.00233674
1291.55, 0.000706943
2340.05, 0.000680102
2129.95, 0.0015463
1321.86, 0.00264156
1535.72, 0.00198375
2209.56, 0.00110427
1003, 0.000769276
1917.89, 0.00453931
1260.3, 0.00126864
1413.56, 0.00143522
2379.87, 0.00125173
1829.07, 0.00204507
1712.23, 0.00221838
1767.91, 0.00216777
1117.79, 0.00131713
2462.48, 0.00133173
1624.39, 0.00250226
2142.41, 0.0012862
1187.2, 0.000119345
1093.97, 0.000327979
1199.47, 0.000142471
2029.38, 0.00247327
1846.71, 0.00284666
2421.47, 0.00114935
2338.3, 0.000326811
1702.09, 0.00260464
1859.74, 0.00237014
2157.64, 0.00119567
2102.15, 0.00234198
1551.47, 0.00218488
1219, 0.000308787
1493.52, 0.00185696
1908.02, 0.00378984
1799.08, 0.00252588
2457.38, 0.0011089
2363.74, 0.000657666
2099.63, 0.00142057
1612.53, 0.00354042
1313.57, 0.000395522
2457.81, 0.00151065
1362.66, 0.00113156
2120.86, 0.00204947
2155.99, 0.000984051
2237.33, 0.000768004
1780.49, 0.00222551
1304.6, 0.000848859
1313.3, 0.000947287
2342.61, 0.000438743
2146.02, 0.00130495
1359.71, 0.000864449
2434.07, 0.0010206
1424.31, 0.00249696
1636.39, 0.00197847
1108.46, 0.000591171
1910.07, 0.00209657
1734.17, 0.00310749
2062.53, 0.00178909
1921.02, 0.00217904
1191.98, 0.000487519
2256.94, 0.000795848
1295.43, 0.000751967
1218.87, 0.000253962
1197.06, 0.0003963
1381.31, 0.00124941
1112.32, 0.000561968
2201.33, 0.000919462
2092.54, 0.00141893
1176.75, 0.000190538
1547.36, 0.00186985
1065.64, 0.000493419
1797.27, 0.00237907
1659.15, 0.00197021
1263.22, 0.000322946
1189.03, 0.000215412
1177.82, 0.000134198
2044.57, 0.00181232
1355.33, 0.00091252
2401.12, 0.000721731
1429.45, 0.00165166
2375.22, 0.000618677
1496.84, 0.00234278
2394.4, 0.0010022
1653.34, 0.00269199
1862.01, 0.00494409
1081.86, 0.0001804
1452.07, 0.00157941
2426.43, 0.00146194
1194.75, 0.000145926
2322.53, 0.000348887
2023.14, 0.0020835
2137.35, 0.00172137
1540.93, 0.00263408
1266.52, 0.00112327
1691.37, 0.00348169
2075.3, 0.00243562
1885.82, 0.0020355
1746.16, 0.00197222
1489.15, 0.00210817
2026.04, 0.00160023
