temperature, L2
1851.75, 7.36119e-06
1320.91, 3.09405e-07
2369.91, 1.20313e-07
1896.31, 1.76086e-06
1564.33, 3.04692e-07
2455.14, 1.6672e-06
1536.04, 2.25381e-07
1641.64, 8.60406e-08
1129.52, 9.41331e-07
1089.57, 7.33283e-07
1498.3, 2.05009e-06
1734.72, 4.35742e-07
1127.8, 7.386e-06
1982.34, 1.07468e-06
1605.55, 3.98337e-07
1230.3, 2.08887e-07
1021.04, 2.02488e-09
1011.72, 1.87028e-05
2458.38, 2.27536e-05
1260.29, 5.80692e-07
1606.55, 2.72017e-06
2245.13, 1.93804e-06
1290.2, 7.69893e-08
1624.05, 7.22522e-06
2483.57, 3.82529e-07
2472.78, 2.16452e-06
1259.77, 3.68024e-07
1168.87, 1.9129e-07
2424.12, 1.4173e-06
1178.89, 1.15475e-06
1922.52, 4.33287e-07
2010.35, 1.82596e-06
1020.68, 2.73114e-08
1002.46, 1.69078e-05
2214.53, 3.34458e-06
1859.24, 3.61145e-06
1473.34, 3.79624e-05
2144.79, 4.60906e-06
1385.68, 3.2624e-07
1396.06, 7.41805e-06
1142.77, 2.71387e-06
1468.28, 3.52116e-06
1771.42, 5.66176e-07
1748.24, 3.99243e-06
2359.56, 1.06135e-07
1714.11, 8.31342e-07
1255.1, 9.34437e-07
2367.18, 6.994e-08
2312.73, 5.30065e-06
1605.6, 3.72622e-06
1049.33, 2.01314e-06
1993.2, 8.94868e-06
1823.17, 1.74754e-06
2002.75, 8.67533e-06
1233.85, 6.02817e-08
1308.49, 1.59429e-08
1909.58, 1.53581e-06
2085.4, 1.38023e-06
2175.34, 1.16818e-05
2100.13, 2.46323e-06
1761.64, 1.79684e-06
1507.34, 5.65163e-07
1267.48, 5.43766e-07
2274.39, 3.34766e-06
1733.2, 8.81475e-07
1315.55, 2.90762e-05
1720.02, 2.7428e-06
1157.06, 1.44772e-07
1123.95, 4.43239e-06
1489.66, 1.92382e-06
1650.87, 2.99274e-07
1077.69, 3.46658e-06
1727.32, 2.0526e-06
1329.51, 1.4812e-08
1834.11, 4.7164e-06
1197.24, 3.36537e-09
2253.39, 9.39054e-06
2193.13, 2.30433e-06
1078.88, 8.27461e-06
1156.02, 9.05246e-07
1624.1, 1.84109e-07
2406.87, 7.32593e-06
1544.17, 2.82392e-06
1068.01, 4.14355e-07
2089.46, 5.57389e-06
1426.1, 1.35806e-06
2287.52, 9.99196e-07
1659.52, 5.84627e-07
1730.41, 6.34116e-06
2155.42, 8.4487e-06
1003.18, 5.79046e-06
2474.81, 2.06514e-06
1352.65, 7.15565e-07
2494.82, 1.36249e-06
2466.53, 3.64094e-06
1329.61, 4.52461e-06
2360.96, 1.65627e-07
1541.83, 4.61757e-07
1374.3, 1.21607e-06
1003.31, 6.82705e-05
1715.97, 4.70494e-06
1962.15, 3.94471e-06
1901.13, 7.17581e-07
2488.83, 6.29321e-06
1447.61, 1.34288e-06
1523.17, 1.98291e-05
2410.03, 8.7438e-06
1740.88, 6.56809e-06
1112.98, 5.81766e-06
1335.07, 5.69134e-07
1925.68, 3.8379e-06
1243.35, 5.20099e-08
1928.95, 7.14808e-07
1698.3, 3.56914e-06
1281.5, 6.44263e-06
2219.02, 1.37332e-06
1820.39, 2.60252e-06
1365.25, 1.20715e-06
2111.58, 2.82024e-06
2354.18, 1.09055e-07
1131.54, 5.40532e-06
1523.05, 5.41659e-06
2235.78, 1.1702e-06
1519.83, 1.85774e-07
1477.93, 4.12796e-08
2152, 1.61307e-06
1658.5, 7.56999e-07
1597.51, 2.15106e-06
2471.05, 2.75418e-06
1529.57, 1.02053e-05
1051.89, 2.10387e-07
2140.86, 3.66945e-05
2352.05, 4.43146e-07
1406.98, 2.48956e-06
1259.79, 4.09033e-08
1381.11, 4.35402e-06
1864.35, 1.32297e-06
2320.43, 5.66367e-07
2195.4, 1.06689e-05
1959.13, 2.52292e-06
1251.67, 1.37368e-06
1691.57, 9.90984e-07
1382.6, 7.60665e-07
1559.17, 1.41161e-06
1331.12, 2.54697e-06
1003.47, 8.55282e-07
1949.68, 1.04724e-05
1259.47, 4.97581e-07
1910.9, 7.9462e-06
2290.91, 2.79931e-06
2383.52, 7.75487e-05
1867.1, 1.1122e-05
1286.67, 4.46773e-05
1041.61, 4.19772e-05
2133.2, 3.09327e-06
2003.5, 1.26286e-06
2373.22, 2.95641e-07
2017.92, 1.12741e-06
1542.01, 6.19378e-06
2239.07, 0.000254226
1950.33, 1.86852e-06
1372, 5.54735e-06
2329.3, 8.11844e-06
1022.1, 2.51398e-07
2265.32, 5.47096e-06
2248.1, 2.80716e-06
1125.68, 2.26376e-09
1295.95, 2.20373e-06
2436.17, 7.7519e-06
1193.64, 8.72601e-08
1304.49, 3.7355e-06
2171.76, 1.79249e-06
2087.55, 8.70025e-06
1066.6, 1.01277e-06
1687.61, 3.64184e-07
2371.25, 4.55469e-07
1822.39, 8.66831e-07
1882.04, 2.45131e-06
1179.56, 2.29859e-08
1592.32, 2.52629e-07
2408.46, 1.79364e-06
1649.71, 1.74467e-07
1296.4, 5.93639e-07
1995.56, 1.28757e-05
1885.09, 2.27808e-06
2412.05, 1.04929e-05
1213.39, 1.35156e-08
1439.02, 1.87675e-05
1844.55, 1.75131e-06
1532.14, 1.21513e-05
1416.63, 1.65025e-05
1055.51, 6.76797e-06
1437.83, 6.22355e-07
1446.6, 2.90096e-06
1157.04, 8.31956e-07
1692.7, 2.29903e-07
2338.86, 8.69418e-07
2287.78, 1.92056e-07
1672.04, 3.27116e-06
1736.25, 2.57109e-06
2418.98, 1.14221e-06
1339.07, 2.55111e-07
2451.35, 1.27869e-06
1260.81, 1.98622e-07
2373.76, 2.83454e-07
2457.4, 2.25247e-06
1595.39, 3.5711e-07
1373.62, 2.46772e-06
1084.35, 4.94965e-06
1103.63, 5.59494e-06
2437.69, 9.99072e-07
2395.82, 1.71182e-06
1666.4, 1.29203e-06
1604.99, 7.57225e-06
1392.82, 4.92026e-08
1796.31, 1.37288e-06
1451.26, 1.60203e-06
1334.74, 2.09741e-06
1961.16, 2.12358e-06
1569.04, 1.12293e-06
1762.31, 1.49419e-05
1466.3, 3.59342e-07
1791.16, 7.9785e-07
1841.07, 1.64415e-06
1259.27, 2.84554e-07
1934.78, 1.58214e-06
1792.42, 6.36235e-07
1503.86, 2.62152e-07
2175.71, 8.17545e-07
1535.69, 8.89394e-08
1082.13, 7.10715e-06
1967.31, 1.30474e-06
1693.58, 3.694e-06
1374.23, 1.54063e-06
1380.42, 8.10546e-07
2004.56, 1.2824e-05
1137.19, 6.82587e-07
2138.73, 7.27691e-06
2421.71, 1.5665e-06
1735.68, 1.43642e-05
1301.08, 7.7787e-07
2024.75, 1.43967e-06
2236.48, 7.99795e-06
1660.89, 2.94882e-07
1780.16, 1.24629e-06
1400.88, 5.37999e-08
1124.64, 7.15063e-07
1479.13, 5.26171e-07
2082.87, 3.75925e-06
1094.73, 1.19589e-08
1150.73, 1.6644e-06
1012.21, 1.61267e-05
1050.25, 5.52843e-06
1921.79, 6.32691e-05
2369.6, 4.65196e-07
1724.55, 2.0086e-06
2087.36, 1.12029e-06
1066.76, 1.36566e-09
1620.47, 3.51459e-06
2473.2, 1.8478e-06
2124.43, 2.98277e-06
2482.62, 3.76346e-06
1807.59, 2.3389e-06
2484.49, 2.82482e-06
1165.32, 2.97735e-06
2025.29, 3.5996e-06
2009.28, 5.841e-06
2168.07, 3.00503e-05
2126.38, 1.28199e-06
1488.02, 1.31043e-05
2494.76, 1.16269e-05
2103.38, 3.4008e-05
2058.27, 1.73717e-06
2473.84, 1.63186e-05
2092.52, 2.96663e-06
1116.46, 2.99269e-07
1116.75, 2.1793e-06
2337.37, 1.41722e-06
2172.53, 2.11769e-06
1455.27, 1.9588e-05
1427.78, 1.67496e-08
1059.69, 0.000166969
1286.05, 2.45493e-09
1856.71, 1.89021e-06
2125.34, 1.14337e-05
2041.31, 1.53857e-06
1846.13, 2.9032e-06
1192.94, 4.85225e-06
1016.94, 3.57803e-06
2322.94, 6.52353e-06
1555.89, 6.03308e-07
1365, 1.14087e-06
2086.95, 7.52461e-06
1477.92, 1.5882e-07
2285.07, 2.81352e-06
2336.22, 9.5875e-07
2416.95, 1.98295e-07
2181.09, 2.70681e-06
1312.68, 1.27491e-05
1516.26, 5.28525e-07
1610.35, 4.69807e-06
1715.38, 7.74115e-06
2256.06, 1.41501e-06
1313.91, 5.93921e-06
2221.44, 7.84131e-06
1480.33, 5.02745e-07
2140.12, 8.34219e-06
2249.92, 2.78453e-06
1933.27, 5.47167e-07
1539.04, 4.7272e-07
2258.66, 1.46555e-06
1498.29, 5.77492e-06
1850.11, 1.66029e-06
1938.05, 1.98027e-06
1299.15, 6.87003e-06
1398.32, 2.34107e-06
2020.97, 1.52993e-05
1362.03, 1.86249e-06
1273.32, 1.54745e-06
1588.82, 5.25091e-05
2440.53, 4.99659e-06
1155.96, 1.57463e-06
1732.88, 4.07208e-07
1906.91, 3.34651e-06
1715.42, 2.44231e-06
2134.96, 1.60503e-06
2059.56, 1.12946e-06
2435.72, 2.09362e-06
1180.5, 1.86732e-07
1940.63, 0.000259366
2195.14, 2.36202e-06
1317.96, 7.15517e-08
2206.72, 5.24105e-06
2349.3, 3.20437e-07
2263.78, 1.10493e-05
2240.39, 2.11311e-06
1193.87, 2.38394e-08
2124.4, 2.05454e-06
1303.3, 4.49409e-07
1200.7, 1.39707e-07
1180.31, 1.52204e-06
1081.9, 4.16306e-06
1534.51, 1.6833e-07
1832.5, 5.93192e-07
1194.6, 1.34647e-07
1131.01, 7.51004e-08
1301.75, 2.79845e-06
2350.8, 2.8793e-07
1826.51, 8.07266e-07
2151.82, 5.04784e-06
1273.02, 3.03081e-06
1642.37, 1.17212e-06
1830.5, 1.16584e-06
2230.59, 1.69013e-06
1250.39, 4.25312e-06
1535.9, 3.32733e-06
1964.26, 1.61262e-06
1002.61, 1.9385e-07
1124.19, 2.68082e-06
1664.13, 2.98196e-07
1014.07, 3.85403e-06
1892.66, 1.30641e-05
1200.94, 2.51059e-07
2482.93, 5.01429e-06
1292.85, 3.62339e-07
2267.4, 3.53708e-06
2434.95, 3.06666e-06
2469.47, 2.15024e-05
1970.48, 1.86368e-06
1603.42, 2.15924e-06
2251.75, 2.10615e-06
1916.66, 1.94995e-06
1640.53, 1.24119e-06
1412.55, 5.14313e-07
1911.34, 1.0051e-05
1943.52, 1.85027e-06
2266.39, 1.11803e-06
2481.74, 1.83176e-06
1074.77, 1.8087e-06
1932.37, 5.92673e-06
2264.6, 1.14572e-06
1793.69, 5.35504e-06
2103.77, 4.17853e-06
2311.21, 4.39543e-07
1030.09, 7.39166e-06
2343.86, 4.57463e-07
1178.78, 1.28659e-06
1892.66, 8.58789e-06
2334.98, 6.16301e-07
1800.33, 3.14334e-07
1504.52, 3.75455e-06
1178.72, 3.49027e-08
2101.59, 1.68295e-06
1011.32, 3.62297e-06
2227.45, 2.46354e-06
2044.66, 1.48663e-06
1605.4, 2.59311e-07
2349.2, 3.21342e-07
1846.18, 2.78019e-05
1617.03, 2.18466e-06
2443.4, 2.98003e-06
1283.13, 3.4319e-07
1423.07, 1.23726e-08
2330.62, 7.57975e-07
2491.3, 2.51104e-06
2443.75, 1.26558e-05
2064.52, 3.01736e-06
2477.89, 4.13276e-06
2200.33, 1.27041e-06
1713.06, 4.79513e-06
1340.93, 3.89986e-06
1443.23, 1.53016e-06
2148.12, 1.48713e-06
1005.78, 1.2746e-05
1187.36, 1.33155e-07
1463.98, 3.14496e-06
1019.59, 1.65236e-05
1180.13, 5.45976e-07
1466.42, 1.28083e-06
1538.3, 1.71278e-06
1594.12, 2.55974e-06
1412.38, 7.14763e-06
1414.9, 3.68561e-07
1986.85, 8.22872e-06
1000.97, 1.59216e-05
1710.81, 3.4329e-06
1244.16, 1.80436e-07
1443.02, 1.92012e-06
2169.39, 1.58094e-06
1736.77, 7.8689e-07
1949.66, 1.11288e-06
1891.61, 3.89016e-07
2035.97, 2.12371e-06
2051.22, 2.20069e-06
1140.99, 6.60866e-06
2296.67, 1.06503e-06
1259.76, 1.62417e-06
1880.85, 2.35349e-06
1335.34, 3.53853e-07
1886.87, 7.10513e-07
1724.7, 2.84818e-06
1477.54, 6.06563e-06
1600.32, 4.37248e-06
2091.05, 8.70268e-06
1505.9, 2.07555e-06
2138.15, 2.03653e-06
1789.75, 1.09402e-06
1428.46, 7.06235e-07
2469.24, 6.86049e-06
2086.9, 2.29812e-06
1417, 3.55423e-06
1277.09, 1.03598e-05
2146.66, 5.43147e-05
1533.49, 1.31064e-06
2368.38, 1.52236e-05
2181.12, 2.24385e-06
1987.84, 4.33122e-06
2259.93, 6.96321e-06
1302.55, 1.15454e-05
1417.2, 8.55282e-07
1845.85, 7.59724e-07
2178.68, 7.83549e-06
1531.44, 4.37108e-06
1674.08, 1.67914e-06
1353.25, 4.48478e-06
1239.11, 2.06774e-07
1593.35, 1.28955e-06
2487.97, 1.09327e-05
2029.48, 2.94243e-06
1979.44, 1.71019e-06
1227.03, 5.28335e-06
2229.19, 1.05426e-05
1925.03, 1.77156e-06
1720.85, 3.01408e-06
2318.81, 2.72807e-06
2439.27, 7.22949e-07
1204.93, 8.17431e-07
2039.82, 3.94555e-06
1383.94, 2.72478e-07
1539.23, 1.9709e-06
1413.02, 1.5905e-05
1017.88, 2.05864e-05
1876.04, 2.31327e-06
1783.08, 1.43284e-06
1065.05, 6.50025e-06
2091.6, 4.7654e-06
2145.39, 1.936e-06
1217.66, 8.29316e-08
1350.71, 1.07639e-08
1056.83, 1.21117e-06
1213.8, 4.95468e-08
1307.14, 1.64986e-06
2460.62, 7.87141e-07
1302.47, 1.1192e-06
1665.48, 1.41907e-06
2197.83, 1.32975e-06
1450.74, 1.49698e-06
1185.63, 7.79836e-07
1185.8, 3.08914e-06
2110.85, 1.97887e-06
1795.87, 1.29079e-06
2022.07, 1.48402e-05
1473.85, 1.37954e-06
1114.2, 1.24035e-05
2458.72, 1.4381e-06
1983.29, 3.55271e-06
1777.44, 2.68631e-06
2389.39, 4.99172e-07
1503.3, 7.85691e-07
2140.32, 1.31882e-06
2086.06, 2.45627e-06
1100.9, 1.28702e-06
1962.87, 5.3018e-07
1505.86, 4.63258e-07
1696.84, 4.71305e-07
1066.4, 1.73276e-06
2035.74, 1.63671e-06
1759.06, 1.45473e-06
1564.16, 5.11782e-07
2285.88, 5.75772e-07
1788, 2.80832e-06
1637.96, 1.53638e-06
