temperature, L2
2230.05, 2.95656e-05
1924.1, 1.09585e-05
1717.37, 5.93131e-05
1078.52, 9.9253e-06
2069.72, 6.92448e-06
2293.6, 3.33393e-06
1260.63, 7.48426e-06
1496.14, 1.60798e-06
1264.82, 2.52945e-07
1787.05, 8.72731e-07
1144.09, 1.57849e-05
1313.61, 1.90617e-05
2498.65, 2.28288e-06
1042.32, 0.000377952
1480.7, 5.28918e-06
1412.17, 6.88838e-06
1447.74, 1.53789e-06
1904.43, 2.22214e-05
1192.02, 5.95076e-06
1458.18, 3.93997e-06
2056.94, 4.22948e-06
1688.51, 1.00036e-05
1960.43, 1.10806e-05
1125.31, 4.49569e-06
2285.98, 3.36371e-05
2445.57, 1.13538e-05
2206.31, 1.01464e-05
1388.25, 3.50031e-06
1393.87, 7.88937e-06
1789.03, 1.21816e-05
1829.84, 4.25625e-06
2390, 1.63814e-05
1769.88, 7.7765e-06
1142.75, 1.47518e-07
1196.37, 1.79091e-06
1725.33, 5.57566e-06
1272.07, 0.000118022
2045.39, 1.68007e-06
1407.53, 7.44934e-06
1221.37, 5.00393e-06
1950.62, 8.18019e-06
1719.28, 1.26111e-05
2051.69, 2.92912e-06
2311.78, 1.83754e-06
1985.24, 0.000163084
1274.56, 6.74901e-06
1520.86, 1.1142e-05
1002.3, 3.29949e-05
2216.07, 1.82622e-06
1569.97, 1.18066e-05
1701.16, 6.04307e-06
1930.4, 9.46406e-06
1425.55, 5.30908e-05
2315.03, 4.8713e-06
2102.59, 5.66354e-06
1597.51, 4.39454e-06
1430.13, 7.56733e-07
1427.89, 1.17964e-05
1914.42, 2.96601e-05
1390.03, 1.85422e-05
1649.8, 7.10107e-06
1692.96, 4.18813e-06
1056.91, 7.21114e-05
1390.97, 2.21565e-06
1172.51, 2.70658e-06
1150.31, 3.52635e-06
2464.18, 1.72916e-05
1424.25, 3.55912e-06
1499.52, 1.46111e-05
1148.65, 1.78906e-06
1524.92, 6.26811e-05
2211.6, 2.87511e-06
2337.42, 2.13561e-05
1068.34, 4.91663e-05
