temperature, L2
2086.86, 0.00521666
1815.72, 0.00315843
1532.98, 0.00250206
1946.32, 0.00332936
1892.94, 0.00765501
2474.97, 0.00140809
2007.29, 0.00539688
1036.27, 0.00848551
1557.5, 0.00429341
2354.09, 0.00206688
1616.41, 0.00332628
1515.35, 0.00236176
1528.3, 0.00279376
2284.68, 0.000583151
2150.46, 0.00173666
1003.38, 0.00206974
1598.12, 0.00303429
1376.7, 0.0117299
2326.58, 0.000144622
1562.3, 0.00492221
1250.78, 0.000260691
1574.6, 0.00922817
1289.87, 0.00127445
2472.55, 0.00107189
2389.84, 0.000418694
1137.87, 0.000882359
1209.5, 0.000137051
2030.1, 0.0529326
1789.75, 0.00340854
2259.65, 0.000876305
1767.9, 0.00494802
1359.57, 0.00345014
1717.22, 0.00502504
1806.85, 0.00486904
2072.77, 0.00337693
2490.06, 0.00269925
2492.75, 0.0738048
1313.82, 0.00121971
1760.76, 0.00303414
1511.64, 0.00381155
1418.25, 0.00285133
1545.65, 0.00338504
2216.3, 0.000697273
1935.31, 0.0091455
1731.79, 0.0101786
2287.45, 0.000621241
2403.68, 0.000935268
2375.1, 0.000504756
1135.18, 0.000749498
1988.67, 0.0107674
1428.54, 0.00235749
1844.97, 0.00379731
2272.38, 0.000880582
2434.98, 0.000788816
2327, 0.000117377
2260.23, 0.000551216
1200.79, 0.000124514
1731.01, 0.00520658
1118.18, 0.000572253
1386.98, 0.00228548
2328.85, 0.000121828
2216.54, 0.000705728
1814.77, 0.00476203
2298.74, 0.000386789
2444.58, 0.00181823
2273.41, 0.000743334
1244.47, 0.000525536
1606.3, 0.0153288
1271.74, 0.000599443
1013.73, 0.00095981
1060.38, 0.00163557
2456.11, 0.00137631
1671.5, 0.00403171
1915.39, 0.00317259
1948.07, 0.00319747
1325.87, 0.0179341
2478.9, 0.00141383
2106.15, 0.00136114
2349.19, 0.000211937
1937.69, 0.00346772
1641.67, 0.00436756
2145.03, 0.00403974
2447.66, 0.00286577
1387.77, 0.00241521
2080.82, 0.0220836
2038.6, 0.00401615
1964.54, 0.00585882
2267.15, 0.00131696
2318.41, 0.000241977
1825.56, 0.00287036
2262.03, 0.000602009
1336.62, 0.00152722
1702.89, 0.00683878
1904.3, 0.285618
1579.26, 0.00408151
1960.75, 0.00457895
1509.61, 0.00326927
2415.53, 0.000697554
1764.2, 0.00327365
2418.51, 0.000608722
1712.27, 0.00827808
2169.13, 0.00463945
1664.95, 0.00312515
2044.65, 0.00307573
2052.32, 0.0556028
1750.48, 0.00440166
1903.84, 0.00652784
1552.93, 0.00185134
2496.17, 0.0030915
2094.55, 0.00247441
2083.77, 0.0075806
1025.55, 0.00490077
1282.59, 0.000965155
2227.79, 0.000830144
1625, 0.00567708
1923.01, 0.00395026
2061.09, 0.00278167
1964.91, 0.00273928
1547.02, 0.00353572
1294.6, 0.00360268
1385.57, 0.00290271
1076.67, 0.00121327
1467.36, 0.00282859
2432.99, 0.0016682
1370.75, 0.00108385
2345.42, 0.000259472
1805.24, 0.00664565
1551.44, 0.0329469
1449.56, 0.00178072
1197.24, 7.69673e-05
2393.95, 0.0106675
1359.35, 0.00171362
1491.32, 0.00333842
1509.23, 0.0227017
2029.34, 0.00299002
1195.03, 0.000147158
1739.84, 0.00999818
1049.43, 0.0015114
1533.2, 0.00393308
2161.08, 0.00144697
1665.33, 0.00361218
2256.99, 0.000570314
1179.28, 0.000222576
2106.92, 0.00272387
2431.17, 0.000848779
2457.63, 0.00273588
2006.75, 0.00289088
1168.6, 0.000992837
2148.91, 0.00269086
1362.75, 0.00118419
1618.01, 0.00946514
2201.69, 0.00186245
1159.96, 0.000686433
2267.44, 0.00151664
2159.56, 0.00438927
1001.83, 0.00121882
2117.27, 0.00226221
1566.61, 0.00354483
1827.25, 0.004571
1451.07, 0.00577514
1790.84, 0.0046971
2432.66, 0.000750158
2253.94, 0.00117929
1705.04, 0.01199
1591.35, 0.00480484
1655.53, 0.00658272
2405.98, 0.00053981
1386.77, 0.0026321
1087.48, 0.000957895
1924.22, 0.00734205
1815.95, 0.00504405
1480.4, 0.0075643
2146.71, 0.00424708
1431.62, 0.00295909
2016.54, 0.00508161
1954.75, 0.00216048
1699.16, 0.00337833
1013.51, 0.00163169
1165.66, 0.000665886
1734.76, 0.00995325
1114.26, 0.00370523
2392.54, 0.000820476
2224.57, 0.000743799
1772.8, 0.00504987
1433.21, 0.00228258
2106.31, 0.0108372
1588.22, 0.00552784
1701.02, 0.00434463
1523.16, 0.00427823
1568.2, 0.00353103
1613.33, 0.00355615
2447.72, 0.00185499
2355.66, 0.000239609
1666.17, 0.00522787
1360.08, 0.00363303
1145.76, 0.00498254
2119.5, 0.00149099
1987.76, 0.00254658
1098.71, 0.00104484
2080.14, 0.0145179
1578.64, 0.00233662
2155.71, 0.00141984
1483.18, 0.00637987
1476.61, 0.00314652
2271.73, 0.00118146
2172.91, 0.00144767
2073.17, 0.00540327
1211.31, 9.52534e-05
1817.94, 0.0115595
1747.57, 0.0077148
1095.26, 0.0011398
2058.35, 0.00234867
2094.69, 0.00388493
1301.19, 0.00124786
2078.61, 0.00206565
2348.13, 0.00027675
1659.34, 0.0041954
2080.65, 0.00217526
2404.54, 0.000782145
2360.14, 0.00137497
1934.32, 0.00407291
2364.02, 0.000611815
1790.57, 0.00635145
1599.24, 0.00419153
2487.1, 0.00165269
1388.95, 0.00287503
1391.17, 0.00220552
2052.46, 0.00204045
1263.29, 0.000570931
1815.93, 0.00390471
1380.58, 0.00136913
1258.45, 0.000281271
2323.32, 0.000115347
2027.97, 0.00278824
1807.65, 0.00567677
2141.46, 0.00168827
1016.23, 0.00214226
1577.27, 0.00534991
1838.17, 0.00398644
1779.54, 0.00499126
2008.6, 0.012892
2040.13, 0.00406986
1945.47, 0.00323882
2490.36, 0.00202232
2037.93, 0.00529528
1514.2, 0.0201479
1239.07, 0.00065833
2270.66, 0.000527427
1209.52, 9.48012e-05
1975.94, 0.00372661
1710.97, 0.00919668
1426.25, 0.00379781
1537.22, 0.00413922
1371.64, 0.00459143
1710.55, 0.00378542
1065.92, 0.00105378
1492.88, 0.00405952
1964.34, 0.00336484
1342.65, 0.00252682
1032.33, 0.0063534
1770.05, 0.00354484
2312.69, 0.000205169
2231.68, 0.000781512
1263.71, 0.00348751
1426.43, 0.00220315
1400.53, 0.00308187
1903.07, 0.103678
2432.86, 0.0011183
2427.51, 0.000799225
1981.63, 0.00241676
1241.34, 0.000996468
2461.57, 0.00103537
2137.05, 0.00171505
1814.5, 0.00826659
2375.32, 0.000499017
1405.31, 0.00236451
1416.93, 0.00316599
1478.83, 0.00235144
2009.12, 0.00271441
2235.35, 0.00164236
2259.72, 0.000688065
2032.52, 0.00360162
2475.98, 0.00131189
2197.35, 0.00261971
1363.76, 0.00568759
1945.57, 0.00437382
1929.3, 0.0227398
1077.03, 0.00315248
2286.21, 0.000409181
2325.62, 0.000229438
1997.57, 0.0036547
1847.58, 0.00414381
2157.75, 0.00205885
2014.17, 0.0047419
1429.63, 0.00393905
2487.22, 0.00248682
2237.45, 0.00505702
1619.68, 0.00874001
1601.23, 0.00713086
1408.65, 0.00263048
1813.74, 0.00277264
1639.02, 0.00461793
1812.17, 0.00322021
2246.99, 0.00188316
2462.67, 0.00114698
1963.13, 0.00215995
1764.52, 0.00304186
1258.36, 0.0026404
1226.04, 0.000665589
1658.54, 0.00156042
1196.92, 7.0774e-05
1841.84, 0.00385989
1697.2, 0.00388185
1787.79, 0.00440773
2110.63, 0.00275841
1927.81, 0.00364645
1363.76, 0.00268472
1416.2, 0.00476964
1980.54, 0.00412923
1998.68, 0.0104788
2073.34, 0.00219349
1249.75, 0.00145345
1697.62, 0.011878
2332.71, 0.00028737
1389.28, 0.00498866
1252.2, 0.00219543
2172.49, 0.00261057
2482.33, 0.00263213
2410.23, 0.000953183
2167.54, 0.00505138
2285.64, 0.000253684
1559.15, 0.0025374
2468.77, 0.00162156
1754.73, 0.00584731
1752.69, 0.0176568
2105.31, 0.00240323
1748.78, 0.00413569
1735.99, 0.00295919
1358.03, 0.002934
2407.53, 0.000929432
1408.41, 0.00403904
2086.24, 0.00252599
1869.61, 0.00661782
1769.66, 0.00412985
2193.57, 0.00222968
2159.55, 0.00130634
1006.44, 0.0026689
2216.08, 0.00172706
2012.43, 0.00278778
1083.41, 0.00118658
2198.92, 0.000818972
1256.23, 0.000479476
2070.41, 0.00171669
1928.77, 0.00347914
1666.07, 0.00913607
2326.2, 0.000217985
1791.82, 0.00481529
2428.4, 0.00117903
1772.29, 0.0510455
1582.86, 0.00663186
1166.61, 0.00113681
1110.61, 0.00903851
1145.4, 0.000509919
1014.69, 0.00325521
1131.65, 0.00133847
2398.61, 0.000570685
2345.46, 0.000161621
1423.96, 0.0193032
2083.82, 0.00154485
1979.36, 0.00730682
1201.71, 6.21755e-05
1383.09, 0.00156945
1255.83, 0.000597937
1534.23, 0.00809202
1546.37, 0.0047067
1629.75, 0.00626645
1492.4, 0.00261467
1167.68, 0.00757262
2327.18, 0.000154654
2222.96, 0.00182835
1874.2, 0.00538734
1553.01, 0.00233569
1649.8, 0.00380052
1769.59, 0.00576501
2260.54, 0.000544379
1065.18, 0.00177079
1403.23, 0.00331803
1611.32, 0.00467607
2049.16, 0.00433901
1553.59, 0.00673333
1072.27, 0.00152698
1658.15, 0.00500617
1596.67, 0.00360192
1848.25, 0.00572753
1267.13, 0.000727068
1780.16, 0.00451435
1628.4, 0.00638185
1129.05, 0.000417853
2286.2, 0.000722927
2277.25, 0.000964291
2016.86, 0.00252304
2130.83, 0.00223019
2348.28, 0.000227161
2289.13, 0.000330001
1031.71, 0.00451129
1365.42, 0.00174701
2326.49, 0.000147182
1018.52, 0.0010328
2017.77, 0.00301498
1639.56, 0.00417552
1083.9, 0.00126591
1266.58, 0.00109244
1632.87, 0.00519075
1975.63, 0.0031227
1243.69, 0.00152388
1940.26, 0.00206401
1786.16, 0.00292211
1341.94, 0.00316836
1401.35, 0.00506347
1802.58, 0.00604067
2028.39, 0.00220901
1217.26, 0.000306237
1005.28, 0.0241602
1023.91, 0.00281209
1229.42, 0.000927711
1525.74, 0.00476759
1893.73, 0.0112227
1545.63, 0.00403028
1255.38, 0.00334538
1541.04, 0.00267765
1957.76, 0.0113716
1761.63, 0.00478322
1277.32, 0.00388697
2489.87, 0.00204467
1887.35, 0.124886
1242.34, 0.000264876
2133.98, 0.00282551
2313.05, 0.000239418
2480.24, 0.00484255
2112.55, 0.00141476
2202.23, 0.00541832
1478.3, 0.0017386
1071.19, 0.00278581
2485.32, 0.00139069
1365.04, 0.00203697
1230.98, 0.000796721
1752.1, 0.00583862
1494.67, 0.00320281
2137.24, 0.00261993
1836.95, 0.00488704
1936.13, 0.00288151
1203.52, 0.000101495
2194.17, 0.00973866
1356.33, 0.00185268
1545.27, 0.00620173
1883.04, 0.00498476
1674.01, 0.0114003
2405.88, 0.000760459
1035.65, 0.0250975
1606.66, 0.00470932
1198.28, 0.000257051
1162.14, 0.000450533
1840.85, 0.0018206
1416.41, 0.00344793
2001.31, 0.00196779
1366.71, 0.00168383
1488.22, 0.00370208
2465.56, 0.00157556
2235.44, 0.00265533
1119.76, 0.00120704
2055.93, 0.00502272
1398.7, 0.00190875
1266.79, 0.000997194
2387.46, 0.000454739
2343.29, 0.000178073
1702.86, 0.00666354
1347.46, 0.00609237
2079.16, 0.0598337
2014.36, 0.00433299
1500.23, 0.00374533
2172.91, 0.00191241
2138.61, 0.0013314
2095.07, 0.00223489
1767.73, 0.00466635
1355.32, 0.00164881
1034.65, 0.00240189
2416.07, 0.000783168
1981.94, 0.00387815
2448.09, 0.000863057
1352.37, 0.00317979
1954.24, 0.0110162
2449.23, 0.00240742
1181.64, 0.000153606
1235.61, 0.000449945
2497.24, 0.0017508
1716.83, 0.00328424
1904.2, 0.00381072
1477.58, 0.00521558
1220.72, 0.00030162
1084.07, 0.002396
1358.95, 0.00125241
2410.89, 0.00297901
2454.1, 0.00138665
2206.91, 0.00141542
1900.54, 0.0193776
1041.16, 0.00154255
1489.5, 0.00498882
1141.14, 0.00835662
2342.85, 0.000160478
1416.21, 0.00537687
1708.8, 0.00439988
1450.09, 0.00394238
2285.95, 0.00110366
1512.28, 0.00335272
1590.58, 0.00404781
2281.91, 0.000649903
2457.9, 0.00242316
1317.5, 0.0017531
2361.33, 0.000813626
1385.48, 0.0018364
1917.2, 0.00432669
1517.24, 0.00249027
1444.81, 0.00226968
1622.49, 0.00369972
1823.2, 0.00247988
1648.38, 0.0060194
1359.67, 0.00409271
1297.86, 0.00207038
1164.08, 0.000777735
1916.91, 0.00289217
1329.51, 0.00844312
2452.77, 0.00128144
1496.51, 0.00265837
1184.69, 0.000551812
1499.78, 0.0130785
1580.77, 0.00346406
1601.58, 0.00354051
1115.17, 0.00534036
1917.38, 0.00334304
2013.04, 0.00358225
2069.94, 0.00350148
2208.14, 0.00484143
1176.9, 0.000502497
2468.76, 0.0013465
2207.47, 0.00137449
1393.83, 0.00334839
1871.8, 0.00661125
2314.93, 0.000204576
1931.87, 0.0026156
1354.06, 0.00180558
2074.1, 0.00184686
2141.71, 0.00161428
1511.2, 0.00300398
1408.96, 0.00184031
2456.17, 0.000872202
1160.1, 0.00112882
1194.64, 0.000108459
2018.79, 0.00377131
2462.93, 0.00171361
1060.5, 0.00174818
1369.22, 0.00299223
2423.92, 0.000788689
1626.62, 0.00322016
1392.49, 0.00378328
1242.49, 0.000538528
1424.38, 0.0199137
1212.26, 0.000129091
1988.32, 0.00740903
1521.88, 0.00242263
1747.94, 0.0100414
1467.52, 0.00261168
2049.11, 0.00229907
1740.43, 0.00985214
1633.43, 0.0039023
2326.68, 0.000184486
2476.11, 0.00136948
1431.85, 0.00324352
1893.18, 0.00511576
1106.58, 0.00230414
2160.83, 0.00162844
1373.53, 0.00145468
1153.88, 0.00125551
1861.66, 0.00376624
2219.64, 0.000685871
1884.88, 0.00567056
2237.26, 0.00242845
1854.82, 0.00400021
1535.13, 0.0181311
1255.93, 0.0126914
2164.18, 0.0023781
1442, 0.00173238
1282.33, 0.00104766
1466.51, 0.00377984
