temperature, L2
1719.56, 1.49334e-07
1871.18, 3.24431e-06
1360.92, 1.94968e-07
1014.91, 8.45241e-07
1280.44, 1.26251e-09
1356.51, 2.40315e-06
1322.91, 1.93391e-06
1111.79, 4.42161e-08
1192.63, 3.11317e-07
1269.54, 1.03757e-06
1242.7, 6.92554e-11
1303.61, 1.73502e-08
1478.89, 1.62189e-06
1329.47, 1.47639e-07
1006.8, 3.83578e-06
1652.8, 8.49214e-06
1151.01, 3.62922e-09
1554.16, 3.54895e-07
1455.59, 8.73616e-07
1545.26, 2.09804e-06
1837.89, 4.81373e-07
1453.27, 4.2791e-07
1187.75, 8.42443e-08
1089.48, 1.86264e-06
1283.75, 3.38556e-07
1487.09, 2.01417e-08
1156.59, 1.21584e-08
1354.17, 4.90292e-07
1947.35, 6.87226e-07
1595.45, 1.34978e-06
1072.54, 7.89209e-07
1868.66, 1.29325e-06
1591.2, 9.71725e-07
1065.87, 3.68213e-07
1992.78, 1.13724e-06
1363.42, 3.50311e-07
1611.18, 2.17151e-07
1954.47, 2.75685e-05
1330.33, 4.5866e-08
1452.68, 8.36013e-07
1602.9, 6.81583e-07
1166.37, 1.22149e-07
1565.89, 2.89427e-07
1501.41, 1.23721e-07
1700.03, 2.70034e-07
1839.35, 5.36329e-06
1075.49, 3.26725e-06
1407.3, 4.33222e-08
1384.99, 0.00487104
1899.11, 4.70422e-07
1757.64, 1.7593e-06
1033.37, 8.38425e-07
1950.19, 3.61397e-07
1105.75, 2.59378e-06
1565.53, 2.1929e-06
1921.28, 4.67427e-07
1221.02, 4.81879e-08
1639.59, 2.95611e-07
1250.35, 9.86966e-08
1497.42, 2.09059e-06
1876.17, 5.45716e-07
1122.73, 2.63005e-07
1948.29, 4.07594e-07
1751.5, 2.07407e-06
1828.13, 3.93553e-07
1902.29, 7.83565e-07
1724.97, 1.25659e-07
1204.65, 9.75517e-09
1268.58, 1.49543e-07
1538.92, 9.4795e-09
1515.72, 2.11357e-06
1372.54, 8.96454e-08
1019.55, 4.59747e-06
1481.68, 5.67409e-07
1535.29, 3.09492e-07
1371.15, 5.767e-07
1058.78, 1.10479e-06
1092.77, 1.29685e-06
1436.57, 1.62415e-05
1134.37, 8.94594e-08
1143.1, 5.55678e-08
1792.7, 2.62572e-06
1879.57, 6.05848e-07
1668.05, 1.08689e-06
1844.59, 7.79653e-07
1354.41, 4.34183e-07
1938.43, 3.68794e-06
1069.84, 1.30882e-08
1660.89, 2.09122e-07
1294.3, 2.21317e-09
1135.77, 5.85118e-06
1290.22, 3.63531e-08
1736.56, 2.41448e-07
1818, 1.75321e-06
1135.4, 4.82479e-09
1228.43, 1.79486e-08
1116.05, 1.46491e-06
1955.32, 1.71793e-06
1245.96, 4.05484e-10
1588.77, 9.37738e-08
