temperature, L2
1566.62, 3.54734e-06
1009.59, 1.60038e-05
1983.75, 8.64753e-06
1771.77, 1.26297e-05
1303.45, 4.4706e-06
1258.67, 1.31186e-06
1042.56, 2.84275e-06
1552.06, 6.39289e-05
1392.61, 3.84426e-06
1954.32, 5.66552e-06
1123.29, 7.95317e-06
1075.42, 8.21944e-05
1954.25, 0.000132503
1572.83, 2.46333e-05
1558.83, 9.75721e-05
1070.64, 1.05766e-05
1425.78, 5.95499e-05
1007.18, 8.93913e-06
1899.29, 1.61159e-06
1034.16, 0.000198799
1246.07, 1.69604e-05
1296.58, 9.87638e-07
1602.63, 0.000103944
1695.93, 1.95168e-06
1936.43, 3.21814e-05
1995.51, 6.27513e-07
1790.19, 5.36772e-06
1098.4, 2.79893e-05
1380.99, 2.41579e-06
1590.07, 2.26591e-06
1969.99, 9.07292e-07
1104.32, 3.4442e-05
1306.37, 6.01486e-06
1818.94, 8.97751e-06
1072.82, 3.19892e-06
1843.77, 3.63897e-06
1365.51, 1.84827e-05
1910.88, 0.000144072
1255.32, 4.54749e-05
1706.81, 7.01677e-06
1911.92, 2.55802e-07
1728.24, 5.09007e-06
1031.68, 1.69251e-05
1834.51, 0.000222575
1049.7, 3.32262e-05
1889.48, 3.32227e-06
1328.11, 1.06527e-05
1134.66, 6.79799e-06
1990.04, 9.19652e-06
1807.61, 1.14467e-05
1350.47, 1.19565e-05
1307.83, 2.92333e-05
1671.65, 5.53693e-06
1148.89, 2.23493e-06
1889.21, 4.19759e-05
1031.86, 5.52408e-05
1948.69, 2.03631e-06
1319.78, 9.75957e-06
1954.81, 1.76292e-07
1837.7, 3.78072e-06
1191.25, 2.90196e-05
1406.02, 5.908e-06
1265.64, 1.96459e-05
1634.83, 1.01712e-05
1479.82, 5.84631e-05
1620.72, 2.53255e-05
1921.78, 6.22938e-06
1763.28, 3.04985e-06
1231.78, 6.00223e-06
1977.66, 9.6368e-07
1311, 8.09077e-06
1726.04, 0.000114835
1829.2, 9.81888e-06
1987.03, 0.000107884
1752.8, 2.75974e-05
