temperature, L2
1667.03, 0.00257532
1862.22, 0.0005868
1279.81, 0.00165108
1196.8, 0.000201318
1905.2, 0.000866553
1926.83, 0.00107212
1035.93, 0.000483964
1718.05, 0.0184293
1463.5, 0.00100322
1070.17, 0.000525063
1742.36, 0.00106545
1059.71, 0.0135496
1262.75, 0.000226904
1048.95, 0.00167143
1108.51, 0.000689768
1980.99, 0.00447627
1481.64, 0.00107762
1954.99, 0.00121817
1218.96, 0.000106008
1752.58, 0.0028483
1971.43, 0.000748118
1621.12, 0.000754655
1227.3, 0.00406631
1312.94, 0.0021219
1258.03, 0.0008295
1545.28, 0.00434771
1023.78, 0.000388538
1176.94, 8.25839e-05
1013.24, 0.00411572
1617.88, 0.00273318
1337.84, 0.00131632
1601.85, 0.00151457
1231.94, 0.000184499
1904.96, 0.00120328
1274.15, 0.00032492
1566.85, 0.000726375
1315.24, 0.000220861
1726.69, 0.00101225
1547.26, 0.0190124
1600.18, 0.00121308
1679.5, 0.00118255
1306.38, 0.000355672
1473, 0.0147221
1947.06, 0.0135401
1831.98, 0.00117928
1513.1, 0.00109662
1620.08, 0.00178268
1113.65, 0.00112356
1844.69, 0.000629313
1398.49, 0.000749305
1925.01, 0.00273577
1334.01, 0.00168604
1490.44, 0.000938472
1582.04, 0.000883718
1409.2, 0.000594187
1774.07, 0.00175754
1580.13, 0.000775897
1923.48, 0.00108655
1437.73, 0.000772479
1314.06, 0.000405213
1270.12, 0.000460288
1909.67, 0.000835565
1774.17, 0.0011025
1954.75, 0.00864799
1195.84, 6.04456e-05
1083.06, 0.00034297
1284.57, 0.000445257
1831.48, 0.00134426
1374.01, 0.00118632
1473.98, 0.000581438
1846.55, 0.00104128
1492.56, 0.000741975
1664.29, 0.00129441
1169.4, 0.000839548
1502.58, 0.00106466
1091.24, 0.000265989
1712.87, 0.00142696
1331.75, 0.000402734
1020.68, 0.00268598
1090.22, 0.00065145
1128.02, 0.000328518
1618.6, 0.00204639
1838.38, 0.00148803
1840.37, 0.00149851
1935.35, 0.00387217
1151.25, 0.000100271
1449.41, 0.00102704
1280.4, 0.000263769
1942.33, 0.00111706
1290.18, 0.000333707
1809.45, 0.002572
1966.53, 0.00437494
1708.46, 0.044624
1556.04, 0.00106623
1326.11, 0.000322623
1994.94, 0.000527487
1525.08, 0.00109498
1631.71, 0.000930258
1178.33, 0.000410389
1059.32, 0.00325587
1062.26, 0.000700654
1785.45, 0.000969079
1151.15, 0.00232927
1952.51, 0.0011705
1536.82, 0.00257333
1926.52, 0.000787635
1660.14, 0.00174186
1566.97, 0.000807982
1091.9, 0.00086127
1748.75, 0.00293336
1016.19, 0.000408586
1495.03, 0.0029922
1194.86, 0.000196154
1700.28, 0.0135023
1456.4, 0.00098655
1930.91, 0.0253025
1007.46, 0.000677722
1410.53, 0.000563874
1640.78, 0.00608374
1284.27, 0.00196926
1012.45, 0.00107286
1762.81, 0.00114047
1262.66, 0.000196849
1121.36, 0.000936613
1832.16, 0.135582
1591.24, 0.0013479
1377.8, 0.000709065
1653.47, 0.0035264
1976.18, 0.00184303
1247.04, 0.00043974
1717.15, 0.000808145
1684.95, 0.00126416
