temperature, L2
1937.13, 0.001076
1699.76, 0.00126232
1310.19, 0.000479994
1587.65, 0.00278344
1309.02, 0.000705847
1089.89, 0.000690587
1425.07, 0.000912331
1278.82, 0.000554264
1687.96, 0.00127724
1025.23, 0.00167373
1967.23, 0.000982241
1114.79, 0.000984471
1258.06, 0.000420815
1115.3, 0.00805872
1967.08, 0.00104152
1377.31, 0.000781677
1651.91, 0.00518801
1189.75, 0.000567885
1574.78, 0.00188253
1627.99, 0.00126452
1342.01, 0.000648058
1589.91, 0.00128263
1771.26, 0.00124819
1585.54, 0.00130492
1569.17, 0.00119789
1382.56, 0.000857954
1726.95, 0.00134164
1241.36, 0.000750218
1120.78, 0.00196791
1015.85, 0.00161508
1196.18, 0.000328874
1956.31, 0.00094298
1396.82, 0.00133805
1299.42, 0.00065662
1280.86, 0.000436619
1896.44, 0.00126738
1272.25, 0.000330868
1823.46, 0.00129357
1469.92, 0.00124872
1788.44, 0.00390011
1374.85, 0.000635069
1727.89, 0.00132526
1899.21, 0.0010472
1010.85, 0.00200705
1761.18, 0.00123969
1410.1, 0.00100823
1196.28, 0.000169347
1825.48, 0.00130655
1438.49, 0.000963597
1038.58, 0.00159627
1669.35, 0.00162032
1758.32, 0.00163392
1650.46, 0.00131
1717.47, 0.00126706
1141.35, 0.00304834
1704.13, 0.00132723
1230.67, 0.000149153
1732.68, 0.00127734
1292.26, 0.000363955
1360.39, 0.0011272
1756.28, 0.00125932
1344.74, 0.000644662
1752.27, 0.00128465
1951.66, 0.00124481
1593.47, 0.00129135
1305.62, 0.000501965
1109.84, 0.000738939
1767.07, 0.00123149
1100.41, 0.000660931
1643.53, 0.0013248
1132.95, 0.00143707
1828.39, 0.00194105
1243.93, 0.000228047
1575.14, 0.00372488
1302.37, 0.000485879
1438.46, 0.00103514
1793.2, 0.00124412
1521.26, 0.00122465
1421.92, 0.00360318
1338.28, 0.000565264
1734.3, 0.00128012
1673.44, 0.00129921
1011.76, 0.0024965
1057.36, 0.00208409
1717.81, 0.00129826
1946.02, 0.0011912
1191.64, 0.00028063
1414.58, 0.00125465
1698.66, 0.00160941
1769.45, 0.0012378
1775.9, 0.00140176
1146.34, 0.000502575
1441.48, 0.00232081
1417.45, 0.00108072
1479.68, 0.00110101
1935.04, 0.00147483
1094.81, 0.0106954
1027.93, 0.00181043
1599.4, 0.00132966
1916.92, 0.00122704
1030.43, 0.00958594
1401.28, 0.00126744
1691.78, 0.0012601
1409.85, 0.00151026
1258.19, 0.0018848
1511.34, 0.00111068
1605.11, 0.00124658
1508.82, 0.00111839
1067.5, 0.00603419
1055.54, 0.00102288
1925.67, 0.00102057
1455.57, 0.000979361
1658.89, 0.00126224
1496.94, 0.001077
1147.78, 0.000356013
1468.79, 0.00105169
1729.08, 0.0012495
1269, 0.000468103
1845.97, 0.00120119
1277.43, 0.000817079
1836.11, 0.00114045
1847.49, 0.00230511
1116.86, 0.00049354
1709.35, 0.00126278
1538.07, 0.00114698
1111.19, 0.000669407
1770.88, 0.00206298
1740.12, 0.00132469
1062.83, 0.00159323
1544.79, 0.00116894
1105.78, 0.000620297
1501.96, 0.00120776
1430.2, 0.000970646
1957.53, 0.000945731
1814.14, 0.00139918
1572, 0.00130925
1563.56, 0.00136579
1870.47, 0.00109009
1139.78, 0.000398069
1240.87, 0.000696307
1105.45, 0.00111979
1404.63, 0.000859134
1627.78, 0.00130568
1643.79, 0.0012915
1121.27, 0.000775007
1042.1, 0.0133633
1804.11, 0.00121076
1662.87, 0.00138954
1381.66, 0.000703117
1776.39, 0.0012313
1422.13, 0.000955799
1941.67, 0.000985474
1499.09, 0.0011498
1423.21, 0.000979189
1697.09, 0.00130596
1038.71, 0.00196046
1261.29, 0.000329342
1199.26, 0.000212688
1817.92, 0.00117953
1346.9, 0.000618166
1696.67, 0.00128338
1543.69, 0.00123713
1705.73, 0.00126865
1321.78, 0.000619092
1620.12, 0.00123063
1710.14, 0.00126169
1096.38, 0.000723098
1773.45, 0.00124619
1303.52, 0.000897232
1163.86, 0.00702904
1191.51, 0.000146668
1707.05, 0.00134775
1140.92, 0.000651074
1164.21, 0.000489605
1325.48, 0.00067306
1827.14, 0.00135413
1080.38, 0.00106961
1798.87, 0.00121818
1725.9, 0.00151956
1634.93, 0.00128557
1550.43, 0.00121436
1952.89, 0.00101042
1636.04, 0.00133514
1701.16, 0.00131491
1506.64, 0.00536982
1377.05, 0.000668461
1742.58, 0.0013366
1115.9, 0.000498281
1189.34, 0.000250529
1171.86, 0.000246833
1868.78, 0.00120298
1317.5, 0.000598938
1576.49, 0.00122022
1505.61, 0.00113474
1515.78, 0.00917751
1953.52, 0.00288079
1356.11, 0.00071691
1703.42, 0.00136586
1859.47, 0.00114798
1311.1, 0.000598626
1075.03, 0.000647716
1855.41, 0.00114762
1261.07, 0.000673925
1881.27, 0.00113403
1492.86, 0.00125097
1430.65, 0.00167917
1213.13, 0.000110184
1304.7, 0.000660701
1246.12, 0.000219108
1923.05, 0.00103518
1107.45, 0.000564247
1665.86, 0.00133624
1020.21, 0.00106033
1501.18, 0.0014715
1794.18, 0.00127144
1126.34, 0.000445448
1035.72, 0.00160071
1167.44, 0.000277305
1473.71, 0.00118285
1696.71, 0.00133082
1239.63, 0.000178122
1514.57, 0.00119872
1829.2, 0.00150988
1746.26, 0.00126978
1565.42, 0.00132578
1451.75, 0.000964831
1989.17, 0.00088326
1089.38, 0.0012982
1530.69, 0.00121723
1479.66, 0.00111103
1428.74, 0.00097535
1007.69, 0.00111329
1218.14, 0.000111669
1866.52, 0.00184969
1226.87, 0.000484057
1285.48, 0.00038931
1236.76, 0.000335363
1276.25, 0.000379347
1570, 0.0014612
1398.81, 0.000859692
1927.04, 0.00101448
1330.21, 0.000554858
1342.34, 0.00103832
1327.08, 0.000576096
1558.79, 0.00124087
1426.41, 0.00135281
1940.79, 0.00122981
1590.39, 0.00385938
1302.93, 0.000719859
1910.39, 0.00104793
1526.65, 0.00120203
1369.67, 0.000723416
1582.93, 0.00129963
1983.55, 0.00213985
1999.01, 0.000879886
1538.44, 0.00121824
1192.97, 0.00027975
1019.2, 0.00180451
1882.46, 0.00110202
1740.67, 0.00135145
1107.2, 0.000732204
1037.23, 0.00213267
1015.4, 0.00130348
1470.32, 0.00106719
1900.92, 0.00115802
1216.75, 0.000296167
1978.84, 0.000979468
1450.22, 0.00107409
1009.23, 0.141383
1542.7, 0.00119521
1077.36, 0.000807196
1928.46, 0.00139468
1763.76, 0.00127212
1519.21, 0.0013268
1561.34, 0.00151553
1614.12, 0.00130065
1796.15, 0.00122489
1571.91, 0.0322305
1199.55, 0.000172342
1331.14, 0.000522305
1302.46, 0.00111171
1291.3, 0.00259364
1000.36, 0.0826327
1074.92, 0.00218064
1474.36, 0.00116092
1090.61, 0.00111834
1807.1, 0.00119587
1367.28, 0.00664092
1377.4, 0.000829115
1669.51, 0.00127672
1536.58, 0.00125406
1718.8, 0.00135329
1046.08, 0.00248708
1318.38, 0.000522141
1004.49, 0.00280357
1895.56, 0.00108657
1873.73, 0.00215119
1909.16, 0.0193277
1731.36, 0.00130513
1261.9, 0.000292903
1185.28, 0.00016972
1444.74, 0.000937031
1438.97, 0.00100785
1704.57, 0.00149446
1638.38, 0.00518761
1080.67, 0.00104301
1318.42, 0.000527206
1774.63, 0.00125443
1807.75, 0.00120707
1596.67, 0.00124409
1189.19, 0.000169759
1131.4, 0.00305547
1247.83, 0.000378764
1730.85, 0.00146789
1252.55, 0.000435304
1795.9, 0.0033446
1428.07, 0.000980147
1098.49, 0.0108957
1099.11, 0.000859099
1744.14, 0.0012655
1916.78, 0.00105449
1587.38, 0.001272
1330.84, 0.000658458
1369.13, 0.000735085
1003.58, 0.0163606
1926.18, 0.00103023
1523.53, 0.00119982
1844.41, 0.00115404
1168.77, 0.000261178
1204.52, 0.000160094
1858.61, 0.00115271
1843.74, 0.00124662
1982.82, 0.000909344
1338.4, 0.000543348
1372.84, 0.000852255
1240, 0.00121907
1485.85, 0.00103568
1160, 0.000662585
1053.61, 0.00187485
1881.41, 0.00138239
1405.31, 0.000993175
1549.74, 0.00121933
1217.97, 0.000188828
